,customer_id,trans_date,tran_amount,response,month,month_year
92,CS1779,2012-01-27,53,0,1,2012-01
93,CS2447,2011-07-10,82,0,7,2011-07
94,CS1985,2011-08-16,87,0,8,2011-08
95,CS2544,2011-11-07,64,0,11,2011-11
96,CS2158,2012-09-11,89,0,9,2012-09
97,CS5776,2014-09-09,87,0,9,2014-09
98,CS5653,2013-09-04,98,0,9,2013-09
99,CS2291,2014-10-15,67,0,10,2014-10
100,CS6088,2012-10-29,48,0,10,2012-10
101,CS4245,2014-06-02,102,0,6,2014-06
102,CS3344,2014-07-02,56,0,7,2014-07
103,CS1481,2013-12-23,50,0,12,2013-12
104,CS5400,2011-12-23,56,0,12,2011-12
105,CS5463,2014-08-27,91,0,8,2014-08
106,CS5951,2014-08-07,104,1,8,2014-08
107,CS5515,2012-02-19,41,0,2,2012-02
108,CS3039,2012-05-01,92,0,5,2012-05
109,CS1836,2012-03-24,63,0,3,2012-03
110,CS4320,2014-04-09,52,1,4,2014-04
111,CS4889,2011-12-01,38,0,12,2011-12
112,CS1319,2011-09-26,95,0,9,2011-09
113,CS4859,2015-01-07,50,1,1,2015-01
114,CS4148,2014-02-08,40,0,2,2014-02
115,CS5264,2013-04-03,81,0,4,2013-04
116,CS4041,2014-12-29,49,0,12,2014-12
117,CS2183,2013-01-04,39,0,1,2013-01
118,CS2516,2015-02-15,55,0,2,2015-02
119,CS1890,2012-11-03,37,0,11,2012-11
120,CS3730,2013-02-11,89,1,2,2013-02
121,CS5382,2013-03-07,48,1,3,2013-03
122,CS5970,2014-06-13,40,0,6,2014-06
123,CS5260,2015-01-30,46,1,1,2015-01
124,CS2437,2011-11-13,90,0,11,2011-11
125,CS4675,2011-09-11,67,0,9,2011-09
126,CS2920,2011-10-11,87,0,10,2011-10
127,CS2548,2013-09-28,73,1,9,2013-09
128,CS1818,2011-12-26,46,0,12,2011-12
129,CS6098,2012-09-28,42,1,9,2012-09
130,CS2712,2011-12-26,65,0,12,2011-12
131,CS2714,2011-12-14,69,0,12,2011-12
132,CS2615,2013-08-17,39,0,8,2013-08
133,CS5445,2014-07-27,72,0,7,2014-07
134,CS5812,2014-11-02,62,0,11,2014-11
135,CS4636,2013-09-22,66,0,9,2013-09
136,CS3147,2014-06-04,84,1,6,2014-06
137,CS1273,2012-02-01,91,0,2,2012-02
138,CS4243,2011-11-11,48,0,11,2011-11
139,CS2357,2012-04-13,71,0,4,2012-04
140,CS1776,2014-05-03,79,0,5,2014-05
141,CS5643,2013-03-02,104,0,3,2013-03
142,CS4522,2015-03-06,82,0,3,2015-03
143,CS2418,2015-02-01,51,0,2,2015-02
144,CS1330,2014-11-21,41,0,11,2014-11
145,CS1195,2014-12-29,83,0,12,2014-12
146,CS4306,2015-03-07,54,0,3,2015-03
147,CS2137,2013-09-29,73,0,9,2013-09
148,CS3518,2013-06-19,54,0,6,2013-06
149,CS5835,2011-09-18,52,1,9,2011-09
150,CS4701,2015-01-15,95,0,1,2015-01
151,CS4548,2012-06-28,38,0,6,2012-06
152,CS2384,2012-10-15,35,0,10,2012-10
153,CS4081,2013-02-17,74,0,2,2013-02
154,CS5976,2012-01-02,99,0,1,2012-01
155,CS3874,2011-09-08,44,0,9,2011-09
156,CS5356,2014-06-17,105,1,6,2014-06
157,CS4667,2014-09-17,66,0,9,2014-09
158,CS4328,2012-06-04,56,0,6,2012-06
159,CS3291,2013-08-02,42,0,8,2013-08
160,CS4282,2011-09-11,44,0,9,2011-09
161,CS4331,2011-09-25,70,0,9,2011-09
162,CS1243,2013-03-17,36,0,3,2013-03
163,CS2390,2014-05-20,104,0,5,2014-05
164,CS2207,2014-04-05,71,0,4,2014-04
165,CS1270,2011-11-18,104,0,11,2011-11
166,CS1219,2014-11-11,91,0,11,2014-11
167,CS5427,2012-11-13,96,1,11,2012-11
168,CS5474,2011-05-18,69,0,5,2011-05
169,CS5109,2012-05-23,92,0,5,2012-05
170,CS5287,2015-03-14,94,0,3,2015-03
171,CS3477,2013-05-05,80,0,5,2013-05
172,CS3970,2011-12-13,86,0,12,2011-12
173,CS5760,2011-12-08,59,0,12,2011-12
174,CS2149,2013-04-04,83,0,4,2013-04
175,CS4934,2014-07-19,80,1,7,2014-07
176,CS1517,2013-10-18,89,0,10,2013-10
177,CS1641,2012-12-29,64,0,12,2012-12
178,CS2187,2011-11-19,70,0,11,2011-11
179,CS5359,2014-08-12,96,0,8,2014-08
180,CS3124,2011-12-08,71,0,12,2011-12
181,CS1721,2012-08-30,96,0,8,2012-08
182,CS5212,2015-01-22,42,0,1,2015-01
183,CS5111,2011-08-23,81,1,8,2011-08
184,CS3137,2012-04-04,67,0,4,2012-04
185,CS1511,2015-01-25,69,0,1,2015-01
186,CS2509,2014-02-23,92,0,2,2014-02
187,CS5994,2014-01-11,42,0,1,2014-01
188,CS2613,2013-08-25,103,0,8,2013-08
189,CS1934,2014-08-18,89,0,8,2014-08
190,CS3127,2011-10-02,39,0,10,2011-10
191,CS5225,2014-03-18,104,1,3,2014-03
192,CS1815,2012-11-17,83,0,11,2012-11
193,CS3552,2014-04-27,102,0,4,2014-04
194,CS1893,2013-11-17,42,0,11,2013-11
195,CS3621,2013-10-26,56,0,10,2013-10
196,CS4330,2013-07-17,59,0,7,2013-07
197,CS4991,2013-07-20,90,0,7,2013-07
198,CS2312,2013-10-22,37,0,10,2013-10
199,CS2359,2012-06-04,90,1,6,2012-06
200,CS4798,2012-12-06,84,1,12,2012-12
201,CS2507,2012-06-28,94,0,6,2012-06
202,CS1430,2014-09-02,71,0,9,2014-09
203,CS3787,2013-10-23,48,0,10,2013-10
204,CS4103,2013-04-14,89,0,4,2013-04
205,CS2881,2012-09-24,54,0,9,2012-09
206,CS1854,2011-09-29,74,0,9,2011-09
207,CS2863,2012-12-23,102,0,12,2012-12
208,CS5292,2013-09-04,64,1,9,2013-09
209,CS3184,2012-01-07,88,0,1,2012-01
210,CS2049,2013-10-07,66,0,10,2013-10
211,CS2832,2013-07-16,105,0,7,2013-07
212,CS2251,2013-04-12,99,0,4,2013-04
213,CS5667,2014-02-25,66,0,2,2014-02
214,CS1327,2012-02-19,38,0,2,2012-02
215,CS4927,2013-08-12,37,0,8,2013-08
216,CS2302,2012-09-09,100,0,9,2012-09
217,CS3901,2012-09-11,82,0,9,2012-09
218,CS5762,2013-04-21,85,0,4,2013-04
219,CS2289,2012-03-13,89,0,3,2012-03
220,CS2867,2012-02-09,56,1,2,2012-02
221,CS2359,2014-08-10,87,1,8,2014-08
222,CS5814,2011-12-12,72,1,12,2011-12
223,CS5129,2011-06-21,102,0,6,2011-06
224,CS2597,2012-06-03,42,0,6,2012-06
225,CS5838,2012-09-01,96,0,9,2012-09
226,CS5800,2012-04-23,86,0,4,2012-04
227,CS3786,2013-07-16,66,0,7,2013-07
228,CS3659,2012-05-19,77,0,5,2012-05
229,CS4400,2011-09-03,97,0,9,2011-09
230,CS3026,2012-06-03,55,0,6,2012-06
231,CS3632,2013-02-10,72,0,2,2013-02
232,CS1452,2012-03-23,79,0,3,2012-03
233,CS5140,2014-07-11,97,0,7,2014-07
234,CS5383,2013-12-29,73,0,12,2013-12
235,CS4695,2013-09-17,48,0,9,2013-09
236,CS2368,2012-08-10,66,0,8,2012-08
237,CS2066,2011-07-15,51,0,7,2011-07
238,CS5277,2011-07-12,90,1,7,2011-07
239,CS3025,2011-12-30,72,1,12,2011-12
240,CS4802,2011-06-25,45,0,6,2011-06
241,CS6001,2014-02-16,63,0,2,2014-02
242,CS3981,2014-09-20,74,0,9,2014-09
243,CS3885,2014-04-29,56,0,4,2014-04
244,CS5546,2012-08-28,79,0,8,2012-08
245,CS4964,2014-05-20,79,0,5,2014-05
246,CS4881,2014-01-21,55,0,1,2014-01
247,CS4103,2014-03-02,40,0,3,2014-03
248,CS5884,2012-12-19,97,0,12,2012-12
249,CS2765,2013-04-18,88,0,4,2013-04
250,CS4438,2014-07-05,72,1,7,2014-07
251,CS2234,2014-12-21,36,0,12,2014-12
252,CS3015,2014-01-30,58,0,1,2014-01
253,CS3755,2015-01-01,45,0,1,2015-01
254,CS3927,2014-03-25,77,1,3,2014-03
255,CS5799,2012-11-08,101,0,11,2012-11
256,CS5708,2011-06-03,89,0,6,2011-06
257,CS3695,2013-04-20,51,0,4,2013-04
258,CS1969,2014-10-23,39,0,10,2014-10
259,CS3854,2014-11-09,104,1,11,2014-11
260,CS3416,2015-02-23,57,0,2,2015-02
261,CS1414,2013-12-01,104,0,12,2013-12
262,CS4732,2013-03-27,96,0,3,2013-03
263,CS2493,2012-12-29,85,0,12,2012-12
264,CS5851,2013-01-19,98,0,1,2013-01
265,CS1678,2014-05-09,48,0,5,2014-05
266,CS2049,2013-03-19,36,0,3,2013-03
267,CS3676,2011-09-27,43,0,9,2011-09
268,CS4853,2012-03-27,68,0,3,2012-03
269,CS4292,2014-03-04,98,0,3,2014-03
270,CS3152,2014-12-15,40,0,12,2014-12
271,CS5640,2014-01-13,77,0,1,2014-01
272,CS5857,2012-09-26,85,0,9,2012-09
273,CS1472,2014-04-12,72,0,4,2014-04
274,CS3888,2012-02-22,70,0,2,2012-02
275,CS5563,2013-06-23,70,0,6,2013-06
276,CS5104,2012-09-17,99,0,9,2012-09
277,CS6109,2013-11-01,92,0,11,2013-11
278,CS2352,2014-10-06,62,1,10,2014-10
279,CS4024,2014-02-01,39,0,2,2014-02
280,CS1499,2011-12-24,91,0,12,2011-12
281,CS3071,2012-09-15,39,0,9,2012-09
282,CS5638,2014-12-16,58,0,12,2014-12
283,CS5533,2013-05-16,73,0,5,2013-05
284,CS1961,2012-03-29,75,0,3,2012-03
285,CS1707,2011-09-15,105,0,9,2011-09
286,CS3692,2014-09-17,48,0,9,2014-09
287,CS1275,2011-12-28,102,0,12,2011-12
288,CS4738,2013-03-20,37,0,3,2013-03
289,CS3732,2011-06-12,83,1,6,2011-06
290,CS5676,2013-12-16,44,0,12,2013-12
291,CS4111,2012-07-26,54,0,7,2012-07
292,CS2074,2015-01-05,79,0,1,2015-01
293,CS5815,2015-01-03,92,0,1,2015-01
294,CS5094,2015-03-07,84,0,3,2015-03
295,CS5431,2013-01-05,55,0,1,2013-01
296,CS4540,2014-08-13,55,1,8,2014-08
297,CS1891,2013-03-25,84,0,3,2013-03
298,CS4389,2013-03-22,70,1,3,2013-03
299,CS4412,2012-01-07,47,0,1,2012-01
300,CS1697,2014-07-13,98,0,7,2014-07
301,CS2720,2012-04-11,72,0,4,2012-04
302,CS1152,2012-08-04,71,0,8,2012-08
303,CS3796,2013-09-14,37,0,9,2013-09
304,CS6066,2013-08-23,66,0,8,2013-08
305,CS2643,2014-07-20,69,0,7,2014-07
306,CS6056,2014-03-22,104,0,3,2014-03
307,CS3489,2013-01-09,76,0,1,2013-01
308,CS5229,2011-11-23,58,0,11,2011-11
309,CS4649,2014-12-16,93,0,12,2014-12
310,CS4372,2014-08-27,71,0,8,2014-08
311,CS1790,2012-10-04,100,0,10,2012-10
312,CS1475,2012-08-20,73,0,8,2012-08
313,CS2452,2014-04-05,77,0,4,2014-04
314,CS2781,2011-06-02,51,0,6,2011-06
315,CS5260,2014-09-25,89,1,9,2014-09
316,CS5155,2011-12-25,100,0,12,2011-12
317,CS1582,2014-05-24,46,1,5,2014-05
318,CS4757,2011-08-19,81,0,8,2011-08
319,CS6039,2013-10-05,104,0,10,2013-10
320,CS1580,2012-11-18,87,1,11,2012-11
321,CS3815,2011-07-05,54,0,7,2011-07
322,CS6063,2013-04-13,104,0,4,2013-04
323,CS2226,2014-10-29,104,0,10,2014-10
324,CS5367,2015-01-08,77,1,1,2015-01
325,CS4581,2013-06-04,95,0,6,2013-06
326,CS5004,2014-12-21,59,0,12,2014-12
327,CS2164,2013-08-06,35,0,8,2013-08
328,CS4590,2014-05-31,79,0,5,2014-05
329,CS4600,2011-10-03,50,0,10,2011-10
330,CS2122,2012-02-20,90,0,2,2012-02
331,CS3060,2012-08-24,59,0,8,2012-08
332,CS2217,2013-04-19,85,0,4,2013-04
333,CS4288,2014-04-21,68,0,4,2014-04
334,CS1568,2013-05-10,104,0,5,2013-05
335,CS3442,2014-09-16,39,0,9,2014-09
336,CS4883,2013-12-24,39,0,12,2013-12
337,CS4911,2012-02-17,75,0,2,2012-02
338,CS1533,2012-07-25,86,0,7,2012-07
339,CS3103,2014-05-07,59,0,5,2014-05
340,CS2185,2012-01-29,46,0,1,2012-01
341,CS4094,2013-07-24,100,0,7,2013-07
342,CS4354,2012-12-29,62,1,12,2012-12
343,CS1939,2012-07-25,46,0,7,2012-07
344,CS5516,2012-12-04,75,0,12,2012-12
345,CS5664,2013-11-02,95,0,11,2013-11
346,CS5068,2014-11-07,41,0,11,2014-11
347,CS4376,2014-10-13,49,0,10,2014-10
348,CS5825,2011-10-22,61,0,10,2011-10
349,CS1871,2012-01-16,64,0,1,2012-01
350,CS5046,2015-02-06,86,1,2,2015-02
351,CS1259,2013-06-30,64,1,6,2013-06
352,CS5664,2011-09-11,58,0,9,2011-09
353,CS2986,2011-07-20,67,0,7,2011-07
354,CS5510,2013-09-02,99,0,9,2013-09
355,CS2845,2013-01-10,73,0,1,2013-01
356,CS4077,2012-07-22,90,0,7,2012-07
357,CS3466,2013-11-04,71,0,11,2013-11
358,CS1508,2013-10-25,101,0,10,2013-10
359,CS2469,2014-07-19,93,0,7,2014-07
360,CS2767,2015-01-03,105,0,1,2015-01
361,CS5790,2012-03-17,58,0,3,2012-03
362,CS1710,2013-06-10,100,0,6,2013-06
363,CS2554,2011-10-05,100,0,10,2011-10
364,CS5283,2015-02-05,63,0,2,2015-02
365,CS4050,2014-08-30,63,0,8,2014-08
366,CS5975,2012-09-08,77,0,9,2012-09
367,CS4227,2012-10-16,74,0,10,2012-10
368,CS5983,2011-05-20,47,0,5,2011-05
369,CS2490,2013-12-04,70,0,12,2013-12
370,CS1696,2012-12-25,51,1,12,2012-12
371,CS3209,2014-02-25,82,0,2,2014-02
372,CS2942,2013-01-08,62,0,1,2013-01
373,CS4981,2011-10-16,93,0,10,2011-10
374,CS1397,2014-03-26,77,0,3,2014-03
375,CS1903,2013-04-15,92,0,4,2013-04
376,CS3754,2013-11-30,77,0,11,2013-11
377,CS4763,2011-12-12,78,0,12,2011-12
378,CS4413,2015-01-17,38,0,1,2015-01
379,CS2333,2011-08-13,99,0,8,2011-08
380,CS2798,2012-05-30,100,0,5,2012-05
381,CS5033,2011-12-13,96,0,12,2011-12
382,CS1420,2014-09-09,99,1,9,2014-09
383,CS5132,2011-09-14,74,0,9,2011-09
384,CS3058,2012-09-03,74,0,9,2012-09
385,CS3692,2013-09-22,42,0,9,2013-09
386,CS2463,2012-09-29,55,0,9,2012-09
387,CS5209,2011-11-11,35,0,11,2011-11
388,CS4581,2013-11-16,53,0,11,2013-11
389,CS3424,2013-12-02,85,0,12,2013-12
390,CS3207,2013-06-27,86,1,6,2013-06
391,CS5763,2013-01-23,56,0,1,2013-01
392,CS5772,2012-01-18,97,0,1,2012-01
393,CS3673,2013-04-29,85,0,4,2013-04
394,CS2887,2012-03-02,100,0,3,2012-03
395,CS1596,2011-08-28,66,0,8,2011-08
396,CS4299,2012-06-17,37,0,6,2012-06
397,CS1492,2014-02-06,82,0,2,2014-02
398,CS2313,2014-04-10,40,0,4,2014-04
399,CS5385,2014-04-25,83,0,4,2014-04
400,CS3441,2013-11-03,43,0,11,2013-11
401,CS4701,2014-07-26,53,0,7,2014-07
402,CS1746,2013-06-21,103,1,6,2013-06
403,CS3276,2013-07-27,65,0,7,2013-07
404,CS2555,2012-05-20,50,0,5,2012-05
405,CS2569,2014-04-29,37,0,4,2014-04
406,CS3426,2014-05-01,67,0,5,2014-05
407,CS3052,2013-11-17,67,1,11,2013-11
408,CS1993,2013-08-08,68,0,8,2013-08
409,CS4908,2014-09-27,78,0,9,2014-09
410,CS3021,2014-02-10,43,0,2,2014-02
411,CS4424,2013-05-16,82,0,5,2013-05
412,CS4841,2013-05-23,74,0,5,2013-05
413,CS3486,2012-11-19,75,0,11,2012-11
414,CS2218,2011-10-11,78,0,10,2011-10
415,CS4779,2012-04-29,53,1,4,2012-04
416,CS4226,2013-04-19,100,0,4,2013-04
417,CS1653,2011-08-30,53,1,8,2011-08
418,CS2533,2012-03-30,99,0,3,2012-03
419,CS2905,2012-07-29,47,0,7,2012-07
420,CS5169,2013-01-25,64,0,1,2013-01
421,CS5142,2012-11-25,64,0,11,2012-11
422,CS4390,2014-07-02,43,0,7,2014-07
423,CS5668,2014-02-27,91,0,2,2014-02
424,CS2896,2013-01-14,71,0,1,2013-01
425,CS5156,2013-10-02,58,0,10,2013-10
426,CS4200,2012-08-12,67,0,8,2012-08
427,CS4391,2014-09-07,67,1,9,2014-09
428,CS5408,2013-07-22,78,0,7,2013-07
429,CS6019,2013-10-25,84,1,10,2013-10
430,CS3981,2012-07-25,40,0,7,2012-07
431,CS5925,2013-06-20,66,0,6,2013-06
432,CS3964,2013-11-14,105,0,11,2013-11
433,CS4688,2013-05-20,101,0,5,2013-05
434,CS1343,2012-06-02,57,0,6,2012-06
435,CS6024,2012-10-14,45,0,10,2012-10
436,CS2816,2011-12-18,84,0,12,2011-12
437,CS2434,2012-05-20,41,1,5,2012-05
438,CS6018,2012-05-18,96,0,5,2012-05
439,CS2072,2012-07-07,63,0,7,2012-07
440,CS2897,2013-12-03,83,0,12,2013-12
441,CS1680,2013-10-14,81,0,10,2013-10
442,CS1638,2013-08-05,84,0,8,2013-08
443,CS1165,2012-04-12,101,0,4,2012-04
444,CS4593,2012-01-04,84,0,1,2012-01
445,CS3414,2011-11-13,46,0,11,2011-11
446,CS2252,2013-02-28,58,0,2,2013-02
447,CS3598,2013-07-30,54,0,7,2013-07
448,CS3642,2014-05-19,62,1,5,2014-05
449,CS5948,2014-07-10,71,0,7,2014-07
450,CS5582,2014-05-23,96,0,5,2014-05
451,CS6107,2011-07-23,70,0,7,2011-07
452,CS5201,2011-07-02,79,0,7,2011-07
453,CS1639,2013-05-05,51,0,5,2013-05
454,CS5884,2012-11-20,52,0,11,2012-11
455,CS3515,2014-07-07,81,0,7,2014-07
456,CS2332,2013-08-29,66,0,8,2013-08
457,CS5628,2014-12-16,94,0,12,2014-12
458,CS4830,2012-04-13,78,0,4,2012-04
459,CS1673,2012-01-04,92,0,1,2012-01
460,CS4993,2011-06-01,86,0,6,2011-06
461,CS2603,2013-07-01,58,1,7,2013-07
462,CS1800,2013-11-20,72,0,11,2013-11
463,CS3911,2012-06-09,83,0,6,2012-06
464,CS5465,2011-12-05,77,0,12,2011-12
465,CS2373,2012-03-29,105,0,3,2012-03
466,CS1241,2013-03-06,104,0,3,2013-03
467,CS4244,2013-02-15,48,0,2,2013-02
468,CS5233,2013-06-05,73,0,6,2013-06
469,CS5405,2013-12-04,87,0,12,2013-12
470,CS4115,2011-11-30,73,1,11,2011-11
471,CS4283,2011-12-23,76,0,12,2011-12
472,CS4420,2014-05-28,93,0,5,2014-05
473,CS4779,2013-05-08,41,1,5,2013-05
474,CS2567,2011-07-15,93,0,7,2011-07
475,CS3629,2014-09-30,68,0,9,2014-09
476,CS2026,2013-08-25,66,1,8,2013-08
477,CS4338,2013-07-05,58,0,7,2013-07
478,CS4142,2012-05-20,100,0,5,2012-05
479,CS2837,2012-11-10,88,0,11,2012-11
480,CS1625,2013-11-05,104,0,11,2013-11
481,CS4873,2012-11-20,83,0,11,2012-11
482,CS3376,2012-08-28,39,0,8,2012-08
483,CS4311,2012-02-27,35,1,2,2012-02
484,CS1396,2012-09-25,86,0,9,2012-09
485,CS3779,2014-01-29,92,0,1,2014-01
486,CS1997,2012-10-09,87,0,10,2012-10
487,CS4540,2012-05-17,72,1,5,2012-05
488,CS5299,2012-12-22,90,0,12,2012-12
489,CS2253,2012-11-21,99,0,11,2012-11
490,CS6066,2014-03-17,102,0,3,2014-03
491,CS6077,2012-11-22,44,0,11,2012-11
492,CS3300,2014-12-28,86,0,12,2014-12
493,CS5922,2012-03-31,95,1,3,2012-03
494,CS6009,2014-03-13,39,1,3,2014-03
495,CS5064,2013-02-19,97,0,2,2013-02
496,CS2399,2014-04-21,77,0,4,2014-04
497,CS5547,2012-09-27,73,1,9,2012-09
498,CS5114,2012-09-23,96,0,9,2012-09
499,CS3908,2011-11-10,83,1,11,2011-11
500,CS4194,2013-04-24,92,0,4,2013-04
501,CS5342,2012-10-15,82,0,10,2012-10
502,CS5425,2012-08-04,90,0,8,2012-08
503,CS1991,2014-09-29,94,0,9,2014-09
504,CS2693,2013-08-27,61,0,8,2013-08
505,CS5076,2015-01-31,63,1,1,2015-01
506,CS3177,2011-06-08,87,0,6,2011-06
507,CS2809,2012-06-02,60,1,6,2012-06
508,CS3864,2013-12-06,56,0,12,2013-12
509,CS2515,2011-12-11,51,1,12,2011-12
510,CS4487,2011-08-25,100,0,8,2011-08
511,CS3108,2011-08-20,87,0,8,2011-08
512,CS1133,2014-07-28,91,0,7,2014-07
513,CS5919,2012-03-04,97,0,3,2012-03
514,CS6067,2012-09-04,44,0,9,2012-09
515,CS4893,2013-10-24,66,0,10,2013-10
516,CS5750,2014-03-25,48,0,3,2014-03
517,CS1445,2011-11-13,88,0,11,2011-11
518,CS1710,2011-10-26,52,0,10,2011-10
519,CS1927,2013-12-23,97,0,12,2013-12
520,CS5719,2011-07-10,40,1,7,2011-07
521,CS2591,2014-01-29,69,0,1,2014-01
522,CS2416,2013-02-13,59,0,2,2013-02
523,CS1347,2013-02-10,74,0,2,2013-02
524,CS3073,2015-02-13,95,0,2,2015-02
525,CS3590,2013-10-23,104,0,10,2013-10
526,CS4099,2014-05-29,67,0,5,2014-05
527,CS4109,2012-08-21,40,0,8,2012-08
528,CS6072,2011-12-20,82,0,12,2011-12
529,CS3266,2012-11-17,51,0,11,2012-11
530,CS1433,2014-12-22,72,0,12,2014-12
531,CS5499,2011-06-23,59,0,6,2011-06
532,CS1533,2012-07-20,85,0,7,2012-07
533,CS5405,2012-04-21,91,0,4,2012-04
534,CS4971,2013-05-28,83,0,5,2013-05
535,CS5461,2012-02-06,47,1,2,2012-02
536,CS6088,2013-01-27,82,0,1,2013-01
537,CS1984,2012-09-04,53,0,9,2012-09
538,CS1184,2013-01-05,102,0,1,2013-01
539,CS4346,2012-12-09,65,0,12,2012-12
540,CS5245,2014-10-29,104,0,10,2014-10
541,CS5402,2011-11-03,84,0,11,2011-11
542,CS2765,2011-08-29,61,0,8,2011-08
543,CS5785,2013-06-20,63,0,6,2013-06
544,CS5767,2013-05-29,82,0,5,2013-05
545,CS2753,2012-06-17,63,0,6,2012-06
546,CS2252,2012-09-04,68,0,9,2012-09
547,CS5488,2012-06-28,53,0,6,2012-06
548,CS5354,2014-09-23,83,0,9,2014-09
549,CS1470,2012-02-11,95,0,2,2012-02
550,CS1155,2011-10-16,75,0,10,2011-10
551,CS5565,2014-06-04,36,0,6,2014-06
552,CS6073,2015-02-07,104,0,2,2015-02
553,CS2817,2014-06-11,43,0,6,2014-06
554,CS3210,2011-10-29,57,0,10,2011-10
555,CS4688,2012-10-16,59,0,10,2012-10
556,CS4663,2013-02-24,95,0,2,2013-02
557,CS4539,2012-07-28,35,1,7,2012-07
